stars,movies,appearances
Nina Axelrod,['Motel Hell'],1
Nina Dobrev,"[""Let's Be Cops"", 'Flatliners', 'Then Came You', 'Love Hard', 'The Out-Laws']",5
Nina Foch,['Hush'],1
Nina Grebeshkova,['The Diamond Arm'],1
Nina Hoss,"['Barbara', 'Phoenix', 'Tár']",3
Nina Jankovic,['Montevideo: Taste of a Dream'],1
Nina Kunzendorf,['Phoenix'],1
Nina Meurisse,['Petite Maman'],1
Nina Petri,['Run Lola Run'],1
Nina van Pallandt,"['The Long Goodbye', 'American Gigolo']",2
Ninetto Davoli,['The Decameron'],1
Nino Castelnuovo,['The Umbrellas of Cherbourg'],1
Nipsey Russell,['The Wiz'],1
Nirup Bhandari,"['RangiTaranga', 'Vikrant Rona']",2
Nirupa Roy,['Deewaar'],1
Nisa Sofiya Aksongur,['Miracle in Cell No. 7'],1
Nithya Menen,"['Ustad Hotel', '24', 'Mersal', 'Thiruchitrambalam']",4
Nitish Bharadwaj,['Kedarnath'],1
Nitu Chandra,['Oye Lucky! Lucky Oye!'],1
Nivedita Bhargava,['Meenakshi Sundareshwar'],1
Nivetha Thomas,['Vakeel Saab'],1
Nivin Pauly,"['Bangalore Days', 'Premam']",2
Noah Bean,['Morning Glory'],1
Noah Centineo,"[""To All the Boys I've Loved Before"", 'Sierra Burgess Is a Loser', 'The Perfect Date', 'To All the Boys: P.S. I Still Love You', 'To All the Boys: Always and Forever', 'Black Adam']",6
Noah Emmerich,"['Beautiful Girls', 'The Truman Show', 'Windtalkers', 'Miracle', 'Pride and Glory']",5
Noah Hathaway,['The NeverEnding Story'],1
Noah Jupe,"['Suburbicon', 'A Quiet Place', 'Honey Boy']",3
Noah Lomax,['Playing for Keeps'],1
Noah Schnapp,['The Peanuts Movie'],1
Noah Segan,"['Deadgirl', 'Starry Eyes']",2
Noah Taylor,"['Lara Croft: Tomb Raider', 'Submarine', 'The Double', 'Predestination']",4
Noah Urrea,['Metal Lords'],1
Noah Wiseman,['The Babadook'],1
Noah Young,['Safety Last!'],1
Noble Willingham,"['Blind Fury', 'The Last Boy Scout']",2
Nobu Kanaoka,['Tetsuo: The Iron Man'],1
Nobuhiko Okamoto,['My Hero Academia: Two Heroes'],1
Nobuhiro Nishihara,['The Machine Girl'],1
Nobuhiro Suwa,"[""Paris, je t'aime""]",1
Nobuko Miyamoto,['Tampopo'],1
Nobuko Otowa,['Onibaba'],1
Nobuyuki Katsube,"['Kumiko, The Treasure Hunter']",1
Noel Cho,['Minari'],1
Noel Clarke,"['Kidulthood', 'Adulthood', 'Doghouse', '10x10']",4
Noel Fisher,"['Red', 'Teenage Mutant Ninja Turtles']",2
Noel Francis,['I Am a Fugitive from a Chain Gang'],1
Noelle Parker,['Ernest Saves Christmas'],1
Noghre Asadi,['The Wind Will Carry Us'],1
Nomadlozi Kubheka,['The Power of One'],1
Non,['In This Corner (and Other Corners) of the World'],1
Nonso Anozie,['Guava Island'],1
Noomi Rapace,"['The Girl with the Dragon Tattoo', ""The Girl Who Kicked the Hornet's Nest"", 'The Girl Who Played with Fire', 'Prometheus', 'Passion', 'Dead Man Down', 'The Drop', 'Child 44', 'What Happened to Monday', 'Bright', 'Unlocked', 'Stockholm', 'Angel of Mine', 'Close', 'The Trip', 'Lamb', 'Black Crab']",17
Noorin Gulamgaus,['The Breadwinner'],1
Nopachai Chaiyanam,['Hunger'],1
Nora Arnezeder,"['Maniac', 'The Colony']",2
Nora Fatehi,['Batla House'],1
Nora Gregor,['The Rules of the Game'],1
Nora Miao,"['The Way of the Dragon', 'Fist of Fury']",2
Nora Navas,"['The Distinguished Citizen', 'Pain and Glory']",2
Nora Ricci,['Death in Venice'],1
Nora Tschirner,['Rabbit Without Ears'],1
Nora Twomey,['The Secret of Kells'],1
Nora-Jane Noone,"['The Magdalene Sisters', '12 Feet Deep']",2
Norah Jones,['My Blueberry Nights'],1
Norberto Gonzalo,['Terrified'],1
Noreen Hennessey,"['Corrina, Corrina']",1
Norihei Miki,['Pom Poko'],1
Noriko Hidaka,['My Neighbor Totoro'],1
Noriko Sakai,['Ju-On: The Grudge 2'],1
Norm Lewis,['Da 5 Bloods'],1
Norm MacDonald,['Dirty Work'],1
Norma Aleandro,"['The Official Story', 'Son of the Bride']",2
Norma Crane,['Fiddler on the Roof'],1
Norma Shearer,['The Women'],1
Norman Alden,['The Transformers: The Movie'],1
Norman Baert,['Ex Drummer'],1
Norman Bartold,['Westworld'],1
Norman Burton,['Bloodsport'],1
Norman Ferguson,"['Fantasia', 'Dumbo']",2
Norman Johnson Jr.,['The Last Summer'],1
Norman Kerry,['The Phantom of the Opera'],1
Norman Lumsden,['White Hunter Black Heart'],1
Norman Panama,['The Court Jester'],1
Norman Reedus,"['The Boondock Saints', 'Gossip', 'The Boondock Saints II: All Saints Day', 'Pawn Shop Chronicles', 'Air']",5
Norman Taurog,['The Wizard of Oz'],1
Norman Wright,['Bambi'],1
Norton Virgien,['The Rugrats Movie'],1
Nouhe Hamady Bari,['The Mauritanian'],1
Nova Pilbeam,['Young and Innocent'],1
Nozomu Sasaki,['Akira'],1
Numan Acar,"['Kokowääh', 'In the Fade']",2
Nunzia Schiano,['Dogman'],1
Nuri Bilge Ceylan,['Climates'],1
Nuria Herrero,['Toc Toc'],1
Nushrratt Bharuccha,"['Pyaar Ka Punchnama 2', 'Sonu Ke Titu Ki Sweety', 'Dream Girl', 'Chhalaang', 'Ram Setu', 'Selfiee']",6
Nusraat Faria Mazhar,['Surongo'],1
Nutsa Kukhianidze,['The Good Thief'],1
O'Shea Jackson Jr.,"['Straight Outta Compton', 'Ingrid Goes West', 'Den of Thieves', 'Long Shot', 'Cocaine Bear']",5
O.J. Simpson,"['The Naked Gun: From the Files of Police Squad!', 'The Naked Gun 2½: The Smell of Fear', 'Naked Gun 33 1/3: The Final Insult']",3
Oakes Fegley,"[""Pete's Dragon"", 'Wonderstruck', 'The Goldfinch', 'The War with Grandpa']",4
Oaklee Pendergast,['The Impossible'],1
Oakley Bull,['Beautiful Boy'],1
Oanh Nguyen,['Two Brothers'],1
Octavia Spencer,"['The Help', 'Fruitvale Station', 'Black or White', 'Hidden Figures', 'Gifted', 'The Shape of Water', 'Small Town Crime', 'The Shack', 'Luce', 'Ma', 'Onward', 'The Witches', 'Encounter', 'Spirited']",14
Octavio E. Rodriguez,"[""Ron's Gone Wrong""]",1
Odd-Magnus Williamson,"['Reprise', 'Kon-Tiki']",2
Oded Fehr,"['Resident Evil: Apocalypse', 'Dreamer', 'Resident Evil: Extinction']",3
Odessa Rae,['Hard Candy'],1
Odessa Young,"['The Professor', 'Assassination Nation', 'Shirley']",3
Odette Annable,"['You Again', 'And Soon the Darkness']",2
Odeya Rush,"['The Odd Life of Timothy Green', 'Goosebumps', ""The Hunter's Prayer"", ""Dumplin'"", 'Let It Snow']",5
Odiseas Georgiadis,['The Perfect Date'],1
Oh Yeong-su,"['Spring, Summer, Fall, Winter... and Spring']",1
Oka Antara,['The Raid 2'],1
Okko,['Project X'],1
Oksana Akinshina,"['Lilya 4-Ever', 'Sputnik', 'Chernobyl: Abyss']",3
Olaf Lubaszenko,['A Short Film About Love'],1
Ole Thestrup,['The Green Butchers'],1
Oleg Menshikov,"['Burnt by the Sun', 'The Barber of Siberia', 'Attraction']",3
Oleg Vasilkov,['Battle for Sevastopol'],1
Oleg Yankovskiy,"['Mirror', 'Nostalghia', 'The Man Who Cried']",3
Oleg Zagorodnii,['Firebird'],1
Oleksandr Dsiadevych,['The Tribe'],1
Olga Baclanova,['Freaks'],1
Olga Karlatos,['Purple Rain'],1
Olga Kurylenko,"['Hitman', 'Quantum of Solace', 'Centurion', 'Erased', 'To the Wonder', 'Oblivion', 'The Water Diviner', 'The November Man', 'A Perfect Day', 'Momentum', 'Johnny English Strikes Again', 'The Room', 'The Princess']",13
Olga Mironova,['Come and See'],1
Olgierd Lukaszewicz,['Sexmission'],1
Olin Howland,['The Blob'],1
Oliver Bodart,['Girl'],1
Oliver Clark,"['A Star Is Born', 'Ernest Saves Christmas']",2
Oliver Cooper,"['Project X', 'Burying the Ex']",2
Oliver Driver,['Black Sheep'],1
Oliver Hudson,"['The Breed', 'The Christmas Chronicles']",2
Oliver Jackson,['Redirected'],1
Oliver Jackson-Cohen,['The Invisible Man'],1
Oliver James,['Raise Your Voice'],1
Oliver Korittke,['Bang Boom Bang - Ein todsicheres Ding'],1
Oliver Maltman,"['Another Year', 'Beast']",2
Oliver Masucci,"[""Look Who's Back""]",1
Oliver Platt,"['The Three Musketeers', 'Executive Decision', 'Dangerous Beauty', 'Simon Birch', 'Doctor Dolittle', 'Bicentennial Man', 'Three to Tango', 'Lake Placid', 'Ready to Rumble', 'Pieces of April', 'Casanova', 'Year One', 'Love & Other Drugs', 'Please Give', 'Ginger & Rosa']",15
Oliver Powell,['The Current War'],1
Oliver Reed,"['Oliver!', 'The Devils', 'The Three Musketeers', ""The Four Musketeers: Milady's Revenge"", 'Tommy', 'Burnt Offerings', 'The Brood', 'Lion of the Desert', 'The Adventures of Baron Munchausen', 'Gladiator']",10
Oliver Robins,['Poltergeist II: The Other Side'],1
Oliver Schmitz,"[""Paris, je t'aime""]",1
Oliver Stokowski,['The Experiment'],1
Olivia Barash,['Repo Man'],1
Olivia Bonamy,['Them'],1
Olivia Bond,['The Eyes of My Mother'],1
Olivia Burnette,['Eye for an Eye'],1
Olivia Colman,"['Locke', 'Cuban Fury', 'The Lobster', 'The Favourite', 'The Father', ""Ron's Gone Wrong"", 'The Lost Daughter', 'Empire of Light']",8
Olivia Cooke,"['The Signal', 'The Quiet Ones', 'Me and Earl and the Dying Girl', 'The Limehouse Golem', 'Thoroughbreds', 'Ready Player One', 'Sound of Metal']",7
Olivia DeJonge,"['The Visit', 'Better Watch Out', 'Elvis']",3
Olivia Draguicevich,['Time Trap'],1
Olivia Grant,['Copenhagen'],1
Olivia Hamnett,['The Last Wave'],1
Olivia Hussey,"['Romeo and Juliet', 'Black Christmas']",2
Olivia Jewson,['Close'],1
Olivia Le Andersen,['King of Thieves'],1
Olivia Luccardi,['It Follows'],1
Olivia Magnani,['The Consequences of Love'],1
Olivia Mekdara,['Between Two Ferns: The Movie'],1
Olivia Munn,"['Magic Mike', 'Deliver Us from Evil', 'Mortdecai', 'Office Christmas Party', 'Love Wedding Repeat']",5
Olivia Newton-John,"['Grease', 'Xanadu']",2
Olivia Scott Welch,"['Fear Street: Part Three - 1666', 'Fear Street: Part One - 1994']",2
Olivia Taylor Dudley,['Chernobyl Diaries'],1
Olivia Thirlby,"['United 93', 'The Wackness', 'The Darkest Hour', 'Dredd', 'Being Flynn', '5 to 7', 'Just Before I Go', 'The Stanford Prison Experiment']",8
Olivia Wilde,"['Turistas', 'Bobby Z', 'Year One', 'TRON: Legacy', 'In Time', 'The Change-Up', 'Butter', 'Cowboys & Aliens', 'The Words', 'People Like Us', 'Deadfall', 'Rush', 'Third Person', 'Drinking Buddies', 'Better Living Through Chemistry', 'The Longest Week', 'The Lazarus Effect', 'Life Itself', 'Babylon', ""Don't Worry Darling""]",20
Olivia Williams,"['The Postman', 'Rushmore', 'The Sixth Sense', 'Peter Pan', 'Flashbacks of a Fool', 'An Education', 'The Ghost Writer', 'Hyde Park on Hudson', 'The Last Days on Mars', 'Sabotage', 'The Father']",11
Olivia d'Abo,"['Conan the Destroyer', 'Greedy', 'The Big Green']",3
Olivia de Havilland,"['Captain Blood', 'The Adventures of Robin Hood', 'The Heiress', 'Hush...Hush, Sweet Charlotte', ""Airport '77""]",5
Olivier Bonnaud,['The Unknown Girl'],1
Olivier Gourmet,"['Rosetta', 'Read My Lips']",2
Olivier Martinez,"['Unfaithful', 'Blood and Chocolate', 'The Physician']",3
Olivier Perrier,['Read My Lips'],1
Olivier Rabourdin,['Of Gods and Men'],1
Olly Alexander,['Enter the Void'],1
Olympia Dukakis,"['Moonstruck', 'Steel Magnolias', ""Look Who's Talking"", ""Mr. Holland's Opus"", 'Picture Perfect']",5
Om Puri,"['Chachi 420', 'East Is East', 'Code 46', 'Lakshya', 'Chup Chup Ke', 'Singh Is King', 'Billu', 'Don 2', 'The Hundred-Foot Journey', 'The Ghazi Attack']",10
Omar Benson Miller,"[""Get Rich or Die Tryin'"", 'Miracle at St. Anna']",2
Omar Elba,['A Hologram for the King'],1
Omar Epps,"['Juice', 'The Program', 'Higher Learning', 'Love & Basketball', 'Brother']",5
Omar Gooding,['Baby Boy'],1
Omar Leyva,['Windfall'],1
Omar Shargawi,['The Guilty'],1
Omar Sharif,"['Doctor Zhivago', 'Funny Girl', 'Top Secret!', 'Monsieur Ibrahim', 'Hidalgo']",5
Omar Sy,"['Arthur and the Revenge of Maltazard', 'The Intouchables', 'Mood Indigo', 'Samba', 'Good People', 'Two Is a Family', ""The Wolf's Call"", 'The Call of the Wild']",8
Omari Hardwick,"['Shot Caller', 'Sorry to Bother You', 'Army of the Dead', 'The Mother']",4
Omid Djalili,"['Modigliani', 'Shaun the Sheep Movie']",2
Omid Memar,['7500'],1
Omkar Kapoor,['Pyaar Ka Punchnama 2'],1
Omri Katz,"['Hocus Pocus', 'Matinee']",2
Onkar Das Manikpuri,['Peepli [Live]'],1
Onni Tommila,"['Rare Exports', 'Big Game']",2
Oona Laurence,"['Southpaw', ""Pete's Dragon""]",2
Oona Roche,['The Nest'],1
Ophelia Lovibond,"['4.3.2.1.', ""Mr. Popper's Penguins"", 'The Autopsy of Jane Doe']",3
Oprah Winfrey,"['The Color Purple', ""Charlotte's Web"", 'The Princess and the Frog', 'The Butler', 'Selma']",5
Orazio Orlando,['Investigation of a Citizen Above Suspicion'],1
Orion Acaba,['Berserk: The Golden Age Arc II - The Battle for Doldrey'],1
Orla Fitzgerald,['The Wind that Shakes the Barley'],1
Orlando Bloom,"['The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Two Towers', 'The Lord of the Rings: The Return of the King', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'Ned Kelly', 'Troy', 'Kingdom of Heaven', 'Elizabethtown', ""Pirates of the Caribbean: Dead Man's Chest"", ""Pirates of the Caribbean: At World's End"", 'Zulu', 'Pirates of the Caribbean: Dead Men Tell No Tales', 'Unlocked', 'The Outpost']",14
Orlando Jones,"['The Replacements', 'Evolution', ""Say It Isn't So"", 'Drumline']",4
Ornella Muti,['Oscar'],1
Orson Bean,['The Equalizer 2'],1
Orson Welles,"['The Stranger', 'The Lady from Shanghai', 'The Third Man', 'Touch of Evil', 'The Long, Hot Summer', 'Casino Royale', 'Waterloo', 'The Transformers: The Movie']",8
Orto Ignatiussen,['Gravity'],1
Osamu Saka,['Ninja Scroll'],1
Oscar Homolka,"['Sabotage', 'Ball of Fire']",2
Oscar Isaac,"['The Nativity Story', 'Che: Part One', 'Agora', 'W.E.', 'Inside Llewyn Davis', 'Ex Machina', 'A Most Violent Year', 'The Two Faces of January', 'Star Wars: Episode VII - The Force Awakens', 'The Promise', 'Suburbicon', ""At Eternity's Gate"", 'Life Itself', 'Operation Finale', 'Star Wars: The Rise Of Skywalker', 'Triple Frontier', 'The Addams Family', 'Dune', 'The Card Counter', 'The Addams Family 2']",20
Oscar Levant,"['An American in Paris', 'The Band Wagon']",2
Oscar Pearce,['Resident Evil'],1
Oscar Steer,['Nanny McPhee Returns'],1
Osgood Perkins,['Scarface'],1
Osheen Jones,['Titus'],1
Oshri Cohen,['Lebanon'],1
Oskar Werner,"['Jules and Jim', 'The Spy Who Came in from the Cold', 'Fahrenheit 451']",3
Ossie Davis,"['Do the Right Thing', 'Jungle Fever', 'Doctor Dolittle', 'Bubba Ho-Tep']",4
Otis Young,['The Last Detail'],1
Otto Jespersen,['Troll Hunter'],1
Otto Kruger,"['Saboteur', 'Murder, My Sweet']",2
Otto Preminger,['Stalag 17'],1
Otto Sander,['Wings of Desire'],1
Otto Wernicke,['The Testament of Dr. Mabuse'],1
Ouassini Embarek,"['The Good Thief', 'Athena']",2
Oulaya Amamra,['Divines'],1
Owen Atlas,['Little Evil'],1
Owen Campbell,['Super Dark Times'],1
Owen Holland,['The Assistant'],1
Owen Kline,['The Squid and the Whale'],1
Owen Myre,['Psycho Goreman'],1
Owen Pugh,['Frequencies'],1
Owen Richards,['Mary Shelley'],1
Owen Teague,['I See You'],1
Owen Vaccaro,"['The House with a Clock in Its Walls', ""Finding 'Ohana""]",2
Owen Wilson,"['Bottle Rocket', 'The Haunting', 'Shanghai Noon', 'Zoolander', 'Behind Enemy Lines', 'I Spy', 'Shanghai Knights', 'The Life Aquatic with Steve Zissou', 'Starsky & Hutch', 'The Big Bounce', 'Wedding Crashers', 'Cars', 'You, Me and Dupree', 'The Darjeeling Limited', 'Marley & Me', 'Drillbit Taylor', 'Night at the Museum: Battle of the Smithsonian', 'Little Fockers', 'How Do You Know', 'Midnight in Paris', 'Cars 2', 'The Big Year', 'Hall Pass', 'The Internship', 'Free Birds', 'Are You Here', 'Inherent Vice', 'Night at the Museum: Secret of the Tomb', ""She's Funny That Way"", 'No Escape', 'Masterminds', 'Wonder', 'Cars 3', 'Father Figures', 'Bliss', 'Marry Me']",36
Owodog,['You Are the Apple of My Eye'],1
Oxide Chun Pang,"['The Eye', 'The Messengers', 'Bangkok Dangerous']",3
P.J. Soles,"[""Rock 'n' Roll High School""]",1
PJ DeBoy,['Shortbus'],1
Paapa Essiedu,['Men'],1
Pablo Derqui,['Los ojos de Julia'],1
Pablo Echarri,"['The Method', 'At the End of the Tunnel']",2
Pablo Guevara,['Che: Part One'],1
Pablo Rago,['The Secret in Their Eyes'],1
Pablo Rosso,['REC'],1
Pablo Schreiber,"['13 Hours', 'Den of Thieves']",2
Paco Manzanedo,['[REC] 4: Apocalypse'],1
Paco Plaza,"['REC', '[Rec]²']",2
Paddy Considine,"['In America', ""Dead Man's Shoes"", 'My Summer of Love', 'Submarine', 'Blitz', 'Now Is Good', 'Pride', 'Miss You Already', 'The Girl with All the Gifts']",9
Paddy Wallace,['Survivor'],1
Paget Brewster,['Batman and Harley Quinn'],1
Paige O'Hara,['Beauty and the Beast'],1
Paige Turco,['Teenage Mutant Ninja Turtles II: The Secret of the Ooze'],1
Pallavi Joshi,['The Kashmir Files'],1
Pallavi Sharda,['Wedding Season'],1
Palmer Lee Todd,['Bad Influence'],1
Pam Dawber,['Stay Tuned'],1
Pam Grier,"['Coffy', 'Foxy Brown', 'Above the Law', 'Jackie Brown', 'Ghosts of Mars']",5
Pamela Adlon,['Vampire Hunter D: Bloodlust'],1
Pamela Anderson,['Scary Movie 3'],1
Pamela Blair,['Mighty Aphrodite'],1
Pamela Britton,['D.O.A.'],1
Pamela Brown,"['Lust for Life', 'Cleopatra']",2
Pamela Franklin,['The Legend of Hell House'],1
Pamela Gidley,['Cherry 2000'],1
Pamela Hart,['Pi'],1
Pamela MacDonald,['Feel the Beat'],1
Pamela Reed,"['Kindergarten Cop', 'Cadillac Man', 'Bean', 'Proof of Life']",4
Pamela Springsteen,['Sleepaway Camp II: Unhappy Campers'],1
Pamela Tiffin,"['One, Two, Three']",1
Pandora Colin,['The Aftermath'],1
Pankaj Kapur,"['Roja', 'Maqbool', 'Jersey', 'Bheed']",4
Pankaj Tripathi,"['Masaan', 'Newton', 'Seeking True Love', 'Stree', 'The Tashkent Files', 'Luka Chuppi', 'Ludo', 'Gunjan Saxena: The Kargil Girl', 'Mimi', 'Bachchhan Paandey']",10
Panna Rittikrai,['Ong Bak 2'],1
Pantea Bahram,['Fireworks Wednesday'],1
Panward Hemmanee,['Bangkok Dangerous'],1
Panya Yimmumphai,['A Prayer Before Dawn'],1
Paolo Bonacelli,"['Salò, or the 120 Days of Sodom', 'Midnight Express', 'Johnny Stecchino', 'The American']",4
Paolo Malco,['The House by the Cemetery'],1
Paolo Stoppa,['The Leopard'],1
Paolo Strippoli,['A Classic Horror Story'],1
Paprika Steen,"['The Celebration', 'Open Hearts', ""Adam's Apples""]",3
Parambrata Chattopadhyay,"['Kahaani', 'Bulbbul']",2
Paresh Rawal,"['Satya', 'Hera Pheri', 'Nayak: The Real Hero', 'Hungama', 'Garam Masala', 'Phir Hera Pheri', 'Chup Chup Ke', 'Bhagam Bhag', 'Oye Lucky! Lucky Oye!', 'Paa', 'OMG: Oh My God!', 'Table No. 21', 'Tiger Lives', 'Sanju', 'Uri: The Surgical Strike', 'Soorarai Pottru', 'Toofaan', 'Sharmaji Namkeen']",18
Parinaz Izadyar,"['Life and a Day', 'Law of Tehran']",2
Parineeti Chopra,"['Ladies vs. Ricky Bahl', 'Shuddh Desi Romance', 'Hasee Toh Phasee', 'Kesari']",4
Paris Berelc,['Tall Girl'],1
Paris Hilton,['House of Wax'],1
Parisa Fitz-Henley,['My Spy'],1
Park Chan-wook,['Three... Extremes'],1
Park Hae-il,"['The Host', 'War of the Arrows', 'Decision to Leave']",3
Park Shin-Hye,"['The Call', '#Alive']",2
Park Sung-woong,['New World'],1
Parker Posey,"['Waiting for Guffman', ""You've Got Mail"", 'Blade: Trinity', 'Laws of Attraction', 'For Your Consideration', 'The Eye', 'Irrational Man', 'Columbus']",8
Parker Sawyers,['Southside with You'],1
Parker Young,['Fourth Man Out'],1
Parkpoom Wongpoom,['Shutter'],1
Parmeet Sethi,['Mission Majnu'],1
Parminder Nagra,['Bend It Like Beckham'],1
Parry Shen,"['Better Luck Tomorrow', 'Hatchet II']",2
Partha Barua,['Mirror Game'],1
Parthaa Akerkar,['Heropanti'],1
Parvathy Omanakuttan,['Billa 2'],1
Parvathy Thiruvothu,['Charlie'],1
Parveen Babi,['Deewaar'],1
Parvin Dabas,['Khosla Ka Ghosla!'],1
Parviz Parastui,['The Lizard'],1
Pascal Benezech,['Delicatessen'],1
Pascal Bongard,['13'],1
Pascal Greggory,"['Pauline at the Beach', 'La Vie En Rose']",2
Pascal Rollin,['Savior'],1
Pasha Ebrahimi,['Hobo with a Shotgun'],1
Pasupathy,"['Asuran', 'Sarpatta Parambarai']",2
Pat Barnett,['Deadstream'],1
Pat Boone,['Journey to the Center of the Earth'],1
Pat E. Johnson,['The Karate Kid Part II'],1
Pat Healy,"['The Innkeepers', 'Compliance', 'Cheap Thrills', 'Run']",4
Pat Hingle,"['Splendor in the Grass', ""Hang 'Em High"", 'The Gauntlet', 'Norma Rae', 'Sudden Impact', 'The Falcon and the Snowman', 'Maximum Overdrive', 'The Land Before Time']",8
Pat Morita,"['The Karate Kid', 'The Karate Kid Part II', 'The Karate Kid Part III', 'Honeymoon in Vegas', 'Desert Heat']",5
Pat O'Brien,['Angels with Dirty Faces'],1
Pat Shortt,['The Banshees of Inisherin'],1
Pat Smear,['Studio 666'],1
Pat Thomson,['Strictly Ballroom'],1
Patch Darragh,"['Cam', 'Brittany Runs a Marathon']",2
Patcharawan Patarakijjanon,['The Beach'],1
Patrice Melennec,['Ernest & Celestine'],1
Patricia Arquette,"['A Nightmare on Elm Street 3: Dream Warriors', 'True Romance', 'Ed Wood', 'Flirting with Disaster', 'Lost Highway', 'Bringing Out the Dead', 'Stigmata', 'Little Nicky', 'Human Nature', 'Boyhood', 'Otherhood']",11
Patricia B. Till,['The Maiden Heist'],1
Patricia Belcher,"['Jeepers Creepers', 'Kajillionaire']",2
Patricia Clarkson,"['The Dead Pool', 'High Art', 'Simply Irresistible', 'The Pledge', 'Far from Heaven', 'The Station Agent', 'Pieces of April', 'All the Real Girls', 'Miracle', 'Good Night, and Good Luck.', 'No Reservations', 'Elegy', 'One Day', 'Friends with Benefits', 'The Party', 'She Said']",16
Patricia Heaton,"[""Moms' Night Out""]",1
Patricia Neal,"['The Fountainhead', 'The Day the Earth Stood Still', 'A Face in the Crowd', ""Breakfast at Tiffany's"", 'Hud']",5
Patricia Owens,['The Fly'],1
Patricia Tallman,['Night of the Living Dead'],1
Patricia Velasquez,['The Curse of La Llorona'],1
Patrick Bergin,"['Sleeping with the Enemy', 'Patriot Games', 'Eye of the Beholder']",3
Patrick Brice,['Creep'],1
Patrick Bruel,"[""What's in a Name?""]",1
Patrick Carroll,['Redacted'],1
Patrick Chilvers,['Resurrection'],1
Patrick Dempsey,"[""Can't Buy Me Love"", 'With Honors', 'Sweet Home Alabama', 'Freedom Writers', 'Enchanted', 'Made of Honor', 'Flypaper', 'Disenchanted']",8
Patrick Fabian,"['The Last Exorcism', 'Bad Ass', 'Reign of the Supermen']",3
Patrick Field,"[""Smilla's Sense of Snow""]",1
Patrick Fontana,['Nikita'],1
Patrick Fugit,"['Almost Famous', 'Spun', 'Saved!', 'Dead Birds', 'Wristcutters: A Love Story']",5
Patrick Godfrey,['Ever After: A Cinderella Story'],1
Patrick Horgan,['Zelig'],1
Patrick Horvath,['Southbound'],1
Patrick Huard,"['Starbuck', 'Mommy']",2
Patrick John Flueger,['The Super'],1
Patrick Joseph Byrnes,['The Man Who Invented Christmas'],1
Patrick L. Reyes,['The Mule'],1
Patrick Labyorteaux,['Summer School'],1
Patrick Ligardes,['Frontier(s)'],1
Patrick Lyster,"['Goodbye Bafana', 'Interview with a Hitman']",2
Patrick Macnee,['The Howling'],1
Patrick Magee,['Barry Lyndon'],1
Patrick Malahide,['Brideshead Revisited'],1
Patrick McGoohan,"['Ice Station Zebra', 'Silver Streak', 'Escape from Alcatraz', 'Scanners']",4
Patrick Mille,['99 francs'],1
Patrick Mofokeng,['Invictus'],1
Patrick Muldoon,['Arkansas'],1
Patrick Page,['Spirited'],1
Patrick Renna,['The Sandlot'],1
Patrick Schwarzenegger,['Midnight Sun'],1
Patrick Stewart,"['Star Trek: Generations', 'Star Trek: First Contact', 'Conspiracy Theory', 'Star Trek: Insurrection', 'X-Men', 'Star Trek: Nemesis', 'X2: X-Men United', 'Steamboy', 'X-Men: The Last Stand', 'TMNT', 'X-Men: Days of Future Past', 'Green Room', 'Logan']",13
Patrick Swayze,"['The Outsiders', 'Uncommon Valor', 'Red Dawn', 'Youngblood', 'Dirty Dancing', 'Road House', 'Next of Kin', 'Ghost', 'Point Break', 'To Wong Foo, Thanks for Everything! Julie Newmar', '11:14', 'Keeping Mum']",12
Patrick Timsit,['Dragon Hunters'],1
Patrick Warburton,"[""The Emperor's New Groove"", 'Hoodwinked!', 'Bee Movie']",3
Patrick Wayne,"['McLintock!', 'Big Jake']",2
Patrick Wilson,"['The Phantom of the Opera', 'Hard Candy', 'Little Children', 'Evening', 'Lakeview Terrace', 'Passengers', 'Watchmen', 'Insidious', 'The Switch', 'The Ledge', 'Young Adult', 'The Conjuring', 'Insidious: Chapter 2', 'Stretch', 'Bone Tomahawk', 'Home Sweet Hell', 'The Conjuring 2', 'Aquaman', 'The Commuter', 'Midway', 'Annabelle Comes Home', 'In the Tall Grass', 'The Conjuring: The Devil Made Me Do It', 'Moonfall', 'Insidious: The Red Door']",25
Patrick Wymark,"['Where Eagles Dare', 'Witchfinder General']",2
Patrizia Terreno,['Nostalghia'],1
Patsy Kelly,['Freaky Friday'],1
Patsy Kensit,['Lethal Weapon 2'],1
Patti LuPone,"['Driving Miss Daisy', 'Beau Is Afraid']",2
Patton Oswalt,"['Ratatouille', 'Sex and Death 101', 'The Informant!', 'Young Adult', 'A Very Harold & Kumar Christmas', 'Seeking a Friend for the End of the World', 'The Secret Life of Pets 2']",7
Patty Duke,['The Miracle Worker'],1
Patty McCormack,['The Bad Seed'],1
Patty Mullen,['Frankenhooker'],1
Patty Shepard,"[""Watch Out, We're Mad""]",1
Paul A. Partain,['The Texas Chain Saw Massacre'],1
Paul Anderson,"['Passion', 'Legend', '24 Hours to Live']",3
Paul Bagget,['The Apostle'],1
Paul Bates,['Coming to America'],1
Paul Ben-Victor,"['The Corruptor', 'Empire State']",2
Paul Benedict,"['The Goodbye Girl', 'The Man with Two Brains']",2
Paul Benjamin,['The Station Agent'],1
