stars,movies,appearances
Aditya Srivastav,"['Black Friday', 'Raat Akeli Hai', 'Haseen Dillruba', 'Bheed']",4
Adivi Sesh,"['Goodachari', 'Major']",2
Adjoa Andoh,['Fractured'],1
Adnan Haskovic,['Twice Born'],1
Adnan Siddiqui,['Mom'],1
Adolfo Celi,"['Thunderball', 'The Phantom of Liberty']",2
Adolph Caesar,"[""A Soldier's Story""]",1
Adolphe Menjou,"['A Star Is Born', 'Paths of Glory']",2
Adria Arjona,"['The Belko Experiment', 'Sweet Girl', 'Father of the Bride', 'Morbius']",4
Adrian Edmondson,['Guest House Paradiso'],1
Adrian G. Griffiths,['Wrecked'],1
Adrian Greensmith,['Metal Lords'],1
Adrian Grenier,"['Drive Me Crazy', 'Cecil B. Demented', 'The Devil Wears Prada', 'Entourage', 'Marauders']",5
Adrian Holmes,['White Noise 2: The Light'],1
Adrian Martinez,"['Focus', 'White Girl']",2
Adrian Molina,['Coco'],1
Adrian Pang,['Bait'],1
Adrian Pasdar,['Near Dark'],1
Adrian Rawlins,['Living'],1
Adrian Schiller,['Son of God'],1
Adrian Titieni,['Graduation'],1
Adrian Zmed,['Bachelor Party'],1
Adriana Asti,['The Best of Youth'],1
Adriana Barraza,"['Henry Poole Is Here', 'And Soon the Darkness', 'Cake', 'Rambo: Last Blood']",4
Adriana Caselotti,['Snow White and the Seven Dwarfs'],1
Adriana Mocca,['Them'],1
Adriana Ugarte,"['Palm Trees in the Snow', 'Julieta', 'Mirage']",3
Adriane Daff,['OtherLife'],1
Adriane Lenox,['Bruised'],1
Adrianne Palicki,['G.I. Joe: Retaliation'],1
Adriano Giannini,['The Consequences of Love'],1
Adriano Tardiolo,['Happy as Lazzaro'],1
Adrien Borel,['Diary of a Country Priest'],1
Adrien Brody,"['Summer of Sam', 'The Pianist', 'King Kong', 'The Jacket', 'Hollywoodland', 'The Darjeeling Limited', 'Cadillac Records', 'The Brothers Bloom', 'Splice', 'Predators', 'The Experiment', 'Wrecked', 'Detachment', 'Third Person', 'The Grand Budapest Hotel', 'American Heist', 'Dragon Blade', 'Backtrack', 'Manhattan Night', 'Bullet Head', 'The French Dispatch', 'Clean', 'Ghosted']",23
Adrienne Barbeau,"['The Fog', 'Creepshow', 'Swamp Thing', 'Tales of Halloween']",4
Adrienne King,"['Friday the 13th', 'Friday the 13th Part 2']",2
Adrienne Pickering,['The Reef'],1
Adrienne Servantie,['Mon Oncle'],1
Adrienne Shelly,['Trust'],1
Aeryk Egan,['The Cure'],1
Affion Crockett,['The Wedding Ringer'],1
Afiya Bennett,['Anon'],1
Afran Nisho,['Surongo'],1
Afshin Khorshid Bakhtiari,['Taste of Cherry'],1
Aftab Shivdasani,['Hungama'],1
Agame Malembo-Emene,['The Class'],1
Agata Buzek,"['Redemption', 'The Innocents']",2
Agata Kulesza,"['Suicide Room', 'Ida', 'The Innocents', 'Cold War']",4
Agata Trzebuchowska,['Ida'],1
